Year,Genotype,Replication,Germination (%),Pod length (cm),Pod diameter (mm),Individual pod weight (gm),Seed/pod (number),Green Pod/plant (number),Green Pod Yield/plant (kg),Green pod yield/plot (kg),Green pod yield (mt/ha),Dry Pod/plant (number),Dry pod/plot (number),Dry pod yield/plant(gm),Total dry pod yield/plot (kg),Total dry grain yield/plot(kg),Dry grain yield (mt/ha)
2,5,3,56.25,18.70,8.55,15.20,8.30,68.00,0.35,11.20,33.19,47.25,1512.00,202.00,6.46,0.39,0.64
2,6,3,75.00,17.90,9.57,15.47,8.73,40.50,0.30,9.66,21.48,44.75,1432.00,230.25,7.37,0.43,0.72
3,1,3,96.88,12.10,9.84,9.45,3.22,36.00,0.23,7.40,12.34,22.60,723.20,35.20,0.89,0.71,1.18
3,2,3,96.88,16.40,8.76,9.38,7.00,65.00,0.37,11.74,19.57,28.00,896.00,52.80,1.80,1.73,2.88
3,3,3,93.75,10.40,10.09,7.70,5.00,56.80,0.33,10.65,17.75,27.80,889.60,84.40,2.85,2.19,3.66
3,4,3,96.88,17.80,11.30,16.55,6.70,48.20,0.46,14.72,24.53,32.00,1024.00,102.00,2.75,2.54,4.23
3,5,3,90.63,12.90,8.40,8.83,4.00,51.60,0.32,10.20,16.99,29.20,934.40,41.20,1.26,0.79,1.32
3,6,3,84.38,12.20,8.40,8.44,5.60,55.00,0.33,10.63,17.72,34.40,1100.80,48.00,1.18,0.95,1.58
1,1,4,93.75,12.79,10.52,8.13,5.75,34.00,0.25,8.00,14.22,33.00,1056.00,95.00,3.04,0.41,0.68
1,2,4,96.88,16.75,10.19,11.85,7.88,44.50,0.55,17.75,30.54,44.00,1408.00,125.00,4.00,0.60,1.00
1,3,4,96.88,10.39,10.51,7.50,4.75,21.75,0.15,4.75,8.18,20.00,640.00,185.00,5.92,0.28,0.47
1,4,4,62.50,17.71,10.09,9.43,7.30,28.75,0.32,10.18,27.13,28.00,896.00,93.00,2.98,0.31,0.52
1,5,4,87.50,16.54,10.31,9.58,7.25,60.75,0.26,8.16,15.54,44.25,1416.00,120.00,3.84,0.41,0.68
1,6,4,90.63,15.63,10.18,9.10,7.30,55.50,0.29,9.28,17.07,43.00,1376.00,72.00,2.30,0.50,0.83
2,1,4,93.75,14.07,14.28,11.30,6.50,38.25,0.35,11.14,19.81,44.25,1416.00,99.00,3.17,0.43,0.72
2,2,4,87.50,17.47,9.07,17.96,8.70,63.00,0.50,16.03,31.67,49.00,1568.00,129.25,4.14,0.77,1.28
2,3,4,71.88,13.00,14.55,10.57,5.97,60.50,0.40,12.86,29.83,37.00,1184.00,193.75,6.20,0.35,0.58
2,4,4,93.75,20.57,10.98,17.83,8.67,33.00,0.41,13.03,23.97,23.50,752.00,92.75,2.97,0.41,0.69
2,5,4,75.00,18.90,9.07,12.77,8.43,42.50,0.38,12.07,26.83,30.00,960.00,71.25,2.28,0.47,0.78
2,6,4,71.88,17.73,9.03,11.50,7.93,42.50,0.23,7.33,16.99,48.75,1560.00,124.50,3.98,0.41,0.68
3,1,4,97.92,12.00,10.30,9.28,3.73,49.27,0.34,10.84,18.07,30.60,979.20,65.43,1.48,1.13,1.88
3,2,4,96.88,15.90,9.06,9.64,7.33,94.00,0.64,20.34,33.91,37.27,1192.53,80.10,2.45,2.10,3.50
3,3,4,91.67,10.50,10.36,7.87,4.83,49.27,0.31,9.91,16.52,23.73,759.47,85.03,2.29,1.65,2.75
3,4,4,97.92,18.07,10.58,15.55,7.57,51.00,0.48,15.43,25.71,29.40,940.80,82.60,2.76,2.59,4.32
3,5,4,91.67,13.43,9.09,8.48,5.21,56.87,0.47,15.15,25.26,26.67,853.33,36.73,0.86,0.84,1.41
3,6,4,83.33,13.97,9.19,9.81,5.63,68.53,0.56,17.77,29.61,35.93,1149.87,42.87,1.10,1.07,1.79
