Rep,species,Month,Un24,Rem24,Rem48,BrdCell,Incomi,Outg,Guard,Mite
5,2,3,1.224744871,5.14781507,5.431390246,42.69660408,4.301162634,8.455767263,1.224744871,2.121320344
5,2,4,1.224744871,5.338539126,5.522680509,39.08324449,3.937003937,11.5974135,1.870828693,4.062019202
5,2,5,0.707106781,5.522680509,5.522680509,39.08324449,5.958187644,5.14781507,1.870828693,3.937003937
5,2,6,0.707106781,0.707106781,0.707106781,0.707106781,1.870828693,6.041522987,2.915475947,0.707106781
5,2,7,0.707106781,0.707106781,0.707106781,0.707106781,1.870828693,6.041522987,2.915475947,0.707106781
5,2,8,0.707106781,5.244044241,5.244044241,34.18332927,4.527692569,6.595452979,3.391164992,0.707106781
5,2,9,1.58113883,5.338539126,5.522680509,23.35594143,4.527692569,6.595452979,3.391164992,0.707106781
6,1,1,1.224744871,5.338539126,5.522680509,16.98528775,1.224744871,1.224744871,1.870828693,0.707106781
6,1,2,1.224744871,3.807886553,3.937003937,29.16333314,4.415880433,5.700877125,0.707106781,5.049752469
6,1,3,1.224744871,5.244044241,5.412947441,25.60273423,4.301162634,5.14781507,5.049752469,5.338539126
6,1,4,0.707106781,0.707106781,0.707106781,9.027735043,0.707106781,3.937003937,1.58113883,14.50861813
6,1,5,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
6,1,6,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
6,1,7,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
6,1,8,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
6,1,9,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
6,2,1,0.707106781,4.74341649,5.522680509,29.2489316,3.674234614,3.082207001,1.224744871,0.707106781
6,2,2,1.224744871,5.431390246,5.522680509,18.50675552,4.062019202,3.807886553,1.224744871,2.34520788
6,2,3,2.121320344,3.535533906,4.74341649,37.23573552,3.937003937,5.049752469,1.870828693,2.738612788
6,2,4,0.707106781,3.535533906,4.949747468,35.23492585,3.674234614,9.924716621,1.870828693,4.949747468
6,2,5,1.224744871,5.522680509,5.522680509,26.95366394,5.787918451,3.674234614,2.121320344,3.240370349
6,2,6,1.224744871,3.937003937,5.431390246,30.3726851,1.224744871,7.516648189,2.121320344,1.870828693
6,2,7,1.224744871,3.937003937,5.431390246,30.3726851,1.224744871,7.516648189,2.121320344,1.870828693
6,2,8,2.549509757,3.082207001,4.062019202,14.15980226,4.062019202,4.949747468,2.549509757,5.522680509
6,2,9,1.58113883,5.244044241,5.522680509,26.89795531,4.062019202,4.949747468,2.549509757,0.707106781
